ticker,group
AAPL,core_manual
ABBV,core_manual
ADBE,core_manual
ADI,core_manual
ADSK,core_manual
AEP,core_manual
AMAT,core_manual
AMD,core_manual
AMGN,core_manual
AMZN,core_manual
ASML,core_manual
AVGO,core_manual
AXP,core_manual
BA,core_manual
BAC,core_manual
BIIB,core_manual
BLK,core_manual
BMY,core_manual
C,core_manual
CAT,core_manual
CHTR,core_manual
CL,core_manual
CMCSA,core_manual
COF,core_manual
COP,core_manual
COST,core_manual
CRM,core_manual
CRWD,core_manual
CSCO,core_manual
CSX,core_manual
CVX,core_manual
DDOG,core_manual
DE,core_manual
DFS,core_manual
DUK,core_manual
EL,core_manual
EOG,core_manual
F,core_manual
FDX,core_manual
GD,core_manual
GE,core_manual
GILD,core_manual
GM,core_manual
GOOGL,core_manual
GS,core_manual
HD,core_manual
HMC,core_manual
HON,core_manual
HWM,core_manual
IBM,core_manual
INTC,core_manual
INTU,core_manual
ISRG,core_manual
ITW,core_manual
JNJ,core_manual
JPM,core_manual
KLAC,core_manual
KO,core_manual
LHX,core_manual
LLY,core_manual
LMT,core_manual
LOW,core_manual
LRCX,core_manual
MA,core_manual
MCD,core_manual
META,core_manual
MMM,core_manual
MPC,core_manual
MRK,core_manual
MRNA,core_manual
MRVL,core_manual
MS,core_manual
MSCI,core_manual
MSFT,core_manual
MU,core_manual
NEE,core_manual
NET,core_manual
NFLX,core_manual
NKE,core_manual
NOC,core_manual
NOW,core_manual
NVDA,core_manual
OKTA,core_manual
ORCL,core_manual
PANW,core_manual
PEP,core_manual
PFE,core_manual
PG,core_manual
PLTR,core_manual
PSX,core_manual
PYPL,core_manual
QCOM,core_manual
REGN,core_manual
RIVN,core_manual
RTX,core_manual
SBUX,core_manual
SLB,core_manual
SNOW,core_manual
SO,core_manual
SQ,core_manual
SRE,core_manual
T,core_manual
TDG,core_manual
TEAM,core_manual
TGT,core_manual
TM,core_manual
TMO,core_manual
TMUS,core_manual
TSLA,core_manual
TSM,core_manual
TXN,core_manual
UL,core_manual
UNP,core_manual
UPS,core_manual
V,core_manual
VRTX,core_manual
VZ,core_manual
WDAY,core_manual
WFC,core_manual
WMT,core_manual
XOM,core_manual
ZS,core_manual
A,sp500_2021
AAL,sp500_2021
AAP,sp500_2021
ABMD,sp500_2021
ABT,sp500_2021
ACN,sp500_2021
ADM,sp500_2021
ADP,sp500_2021
AEE,sp500_2021
